Postcode,Bedrooms,PropertyType,VUDate,VTDate,TENDate,VUDays,VTDays,TotalVacDays,Program,HousingServiceCentre,LocalGovtAuthority,StateElectorate
4304,3,Detached House,Aug-20,Aug-20,Aug-20,2,4,6,Public Housing,IPSWICH ,Ipswich,Bundamba
4680,3,Detached House,Dec-20,Dec-20,Dec-20,2,4,6,Public Housing,GLADSTONE ,Gladstone,Gladstone
4650,2,Apartment,Dec-20,Dec-20,Dec-20,2,4,6,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4131,2,Townhouse,Feb-21,Feb-21,Feb-21,3,0,3,Public Housing,LOGAN ,Logan,Waterford
4077,4,Detached House,Aug-20,Aug-20,Aug-20,3,2,5,Public Housing,INALA ,Brisbane,Inala
4670,2,Apartment,Feb-21,Feb-21,Feb-21,3,3,6,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4610,3,Detached House,Feb-21,Feb-21,Mar-21,3,13,16,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4305,3,Duplex,Sep-20,Sep-20,Sep-20,4,0,4,Public Housing,IPSWICH ,Ipswich,Ipswich
4510,3,Duplex,Mar-21,Mar-21,Mar-21,4,0,4,Public Housing,MORETON BAY ,Moreton Bay,Morayfield
4132,4,Detached House,May-21,May-21,May-21,4,0,4,Public Housing,LOGAN ,Logan,Woodridge
4702,4,Detached House,Dec-20,Dec-20,Dec-20,4,1,5,Public Housing,ROCKHAMPTON ,Rockhampton,Rockhampton
4655,4,Detached House,May-21,May-21,May-21,4,2,6,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4670,2,Apartment,Nov-20,Nov-20,Nov-20,4,3,7,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4817,3,Detached House,Feb-21,Feb-21,Mar-21,4,9,13,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4280,4,Detached House,Dec-20,Dec-20,Jan-21,4,32,36,Public Housing,IPSWICH ,Logan,Logan
4179,4,Detached House,Jul-20,Jul-20,Jul-20,5,0,5,Public Housing,BAYSIDE ,Brisbane,Lytton
4305,4,Detached House,Dec-20,Dec-20,Dec-20,5,0,5,Public Housing,IPSWICH ,Ipswich,Ipswich West
4814,3,Detached House,Dec-20,Dec-20,Dec-20,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Mundingburra
4810,2,Apartment,Jan-21,Feb-21,Feb-21,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Townsville
4812,2,Apartment,Jan-21,Feb-21,Feb-21,5,0,5,Public Housing,TOWNSVILLE ,Townsville,Townsville
4350,5,Detached House,Apr-21,Apr-21,Apr-21,5,0,5,Public Housing,TOOWOOMBA AND SOUTH WEST ,Toowoomba,Toowoomba North
4670,3,Detached House,May-21,May-21,May-21,5,0,5,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4124,3,Detached House,May-21,Jun-21,Jun-21,5,0,5,Public Housing,LOGAN ,Logan,Logan
4814,3,Detached House,Dec-20,Dec-20,Dec-20,5,1,6,Public Housing,TOWNSVILLE ,Townsville,Townsville
4670,2,Apartment,Apr-21,Apr-21,Apr-21,5,1,6,Public Housing,BUNDABERG ,Bundaberg,Bundaberg
4615,4,Detached House,Jun-21,Jun-21,Jun-21,5,2,7,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4610,3,Detached House,Jul-20,Jul-20,Aug-20,5,5,10,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4305,3,Detached House,Jul-20,Aug-20,Aug-20,6,0,6,Public Housing,IPSWICH ,Ipswich,Ipswich West
4610,2,Apartment,Aug-20,Aug-20,Aug-20,6,0,6,Public Housing,MARYBOROUGH ,South Burnett,Nanango
4301,4,Detached House,Nov-20,Nov-20,Nov-20,6,6,12,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,3,Detached House,Jul-20,Aug-20,Aug-20,7,0,7,Public Housing,MARYBOROUGH ,Fraser Coast,Hervey Bay
4814,3,Detached House,Oct-20,Oct-20,Oct-20,7,0,7,Public Housing,TOWNSVILLE ,Townsville,Thuringowa
4301,4,Detached House,Jan-21,Jan-21,Jan-21,7,0,7,Public Housing,IPSWICH ,Ipswich,Bundamba
4655,4,Detached House,Jul-20,Jul-20,Aug-20,7,4,11,Public Housing,MARYBOROUGH ,Fraser Coast,Maryborough
4304,4,Detached House,Jul-20,Aug-20,Aug-20,7,6,13,Public Housing,IPSWICH ,Ipswich,Ipswich
4556,4,Detached House,Sep-20,Sep-20,Sep-20,8,0,8,Public Housing,MAROOCHYDORE ,Sunshine Coast,Buderim
